-3.89248 -0.980292
-3.89495 -1.42164
-4.84967 -1.31687
-4.84526 -0.143274
-4.31202 1.02961
-4.52058 4.62413
-1.75053 4.69572
-0.0126856 4.2092
-1.38152 3.27242
-2.40424 3.63734
-2.68127 2.845
-2.7977 2.66914
-2.66684 1.79472
-0.679902 1.51179
0.300408 2.3223
1.29374 1.82264
1.65286 3.621
2.04829 4.32348
2.23066 4.79134
3.66303 4.95987
4.58474 4.81091
4.47243 2.42781
3.60651 3.00841
2.47267 2.24659
2.49017 1.32607
2.89608 -0.115635
3.09501 -3.49077
1.83195 -4.72885
0.917069 -4.82008
-0.0305255 -4.33066
-2.80235 -4.59148
-1.6063 -0.414776
-2.08913 -0.369878
-2.26055 -0.610986
-3.89248 -0.980292
